ClientID,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,Date,STATUS,QTR_ID,MONTH_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
BKG0098,10100,30,100,3,5151,2017/1/6,Shipped,1,1,Vintage Cars,170,S18_1749,Young,Valarie,Medium
BKG0098,10100,50,67.8,2,3390,2017/1/6,Shipped,1,1,Vintage Cars,60,S18_2248,Young,Valarie,Medium
BKG0098,10100,22,86.51,4,1903.22,2017/1/6,Shipped,1,1,Vintage Cars,92,S18_4409,Young,Valarie,Small
BKG0098,10100,49,34.47,1,1689.03,2017/1/6,Shipped,1,1,Vintage Cars,41,S24_3969,Young,Valarie,Small
4KE0971,10101,25,100,4,3782,2017/1/9,Shipped,1,1,Vintage Cars,127,S18_2325,Keitel,Roland,Medium
4KE0971,10101,26,100,1,3773.38,2017/1/9,Shipped,1,1,Vintage Cars,168,S18_2795,Keitel,Roland,Medium
4KE0971,10101,45,31.2,3,1404,2017/1/9,Shipped,1,1,Vintage Cars,33,S24_1937,Keitel,Roland,Small
4KE0971,10101,46,53.76,2,2472.96,2017/1/9,Shipped,1,1,Vintage Cars,44,S24_2022,Keitel,Roland,Small
G1J0831,10102,39,100,2,4808.31,2017/1/10,Shipped,1,1,Vintage Cars,102,S18_1342,Frick,Michael,Medium
G1J0831,10102,41,50.14,1,2055.74,2017/1/10,Shipped,1,1,Vintage Cars,53,S18_1367,Frick,Michael,Small
40H0119,10103,26,100,11,5404.62,2017/1/29,Shipped,1,1,Classic Cars,214,S10_1949,Bergulfsen,Jonas,Medium
40H0119,10103,42,100,4,5398.26,2017/1/29,Shipped,1,1,Classic Cars,147,S10_4962,Bergulfsen,Jonas,Medium
40H0119,10103,27,100,8,3394.98,2017/1/29,Shipped,1,1,Trucks and Buses,136,S12_1666,Bergulfsen,Jonas,Medium
40H0119,10103,35,100,10,3920,2017/1/29,Shipped,1,1,Trucks and Buses,116,S18_1097,Bergulfsen,Jonas,Medium
40H0119,10103,22,54.09,2,1189.98,2017/1/29,Shipped,1,1,Trucks and Buses,60,S18_2432,Bergulfsen,Jonas,Small
40H0119,10103,27,83.07,12,2242.89,2017/1/29,Shipped,1,1,Vintage Cars,101,S18_2949,Bergulfsen,Jonas,Small
40H0119,10103,35,57.46,14,2011.1,2017/1/29,Shipped,1,1,Vintage Cars,62,S18_2957,Bergulfsen,Jonas,Small
40H0119,10103,25,100,13,2539.5,2017/1/29,Shipped,1,1,Vintage Cars,104,S18_3136,Bergulfsen,Jonas,Small
40H0119,10103,46,100,16,4791.82,2017/1/29,Shipped,1,1,Vintage Cars,99,S18_3320,Bergulfsen,Jonas,Medium
40H0119,10103,36,100,5,4228.2,2017/1/29,Shipped,1,1,Trucks and Buses,121,S18_4600,Bergulfsen,Jonas,Medium
40H0119,10103,41,47.29,9,1938.89,2017/1/29,Shipped,1,1,Vintage Cars,50,S18_4668,Bergulfsen,Jonas,Small
40H0119,10103,36,100,1,3680.28,2017/1/29,Shipped,1,1,Trucks and Buses,127,S24_2300,Bergulfsen,Jonas,Medium
40H0119,10103,25,100,15,2873,2017/1/29,Shipped,1,1,Vintage Cars,97,S24_4258,Bergulfsen,Jonas,Small
40H0119,10103,31,100,3,3224.31,2017/1/29,Shipped,1,1,Trucks and Buses,96,S32_1268,Bergulfsen,Jonas,Medium
40H0119,10103,45,75.63,7,3403.35,2017/1/29,Shipped,1,1,Trucks and Buses,64,S32_3522,Bergulfsen,Jonas,Medium
40H0119,10103,42,100,6,4460.82,2017/1/29,Shipped,1,1,Classic Cars,101,S700_2824,Bergulfsen,Jonas,Medium
9LK0743,10104,34,100,1,5958.5,2017/1/31,Shipped,1,1,Classic Cars,151,S12_3148,Freyre,Diego,Medium
9LK0743,10104,41,100,9,4615.78,2017/1/31,Shipped,1,1,Trucks and Buses,118,S12_4473,Freyre,Diego,Medium
9LK0743,10104,24,100,8,3457.92,2017/1/31,Shipped,1,1,Classic Cars,163,S18_2238,Freyre,Diego,Medium
9LK0743,10104,29,100,12,3772.61,2017/1/31,Shipped,1,1,Trucks and Buses,122,S18_2319,Freyre,Diego,Medium
9LK0743,10104,23,100,13,4556.99,2017/1/31,Shipped,1,1,Classic Cars,169,S18_3232,Freyre,Diego,Medium
9LK0743,10104,38,100,3,5348.5,2017/1/31,Shipped,1,1,Classic Cars,143,S18_4027,Freyre,Diego,Medium
9LK0743,10104,35,55.49,6,1942.15,2017/1/31,Shipped,1,1,Classic Cars,57,S24_1444,Freyre,Diego,Small
9LK0743,10104,44,39.6,10,1742.4,2017/1/31,Shipped,1,1,Classic Cars,35,S24_2840,Freyre,Diego,Small
9LK0743,10104,26,100,5,2921.62,2017/1/31,Shipped,1,1,Classic Cars,118,S24_4048,Freyre,Diego,Small
9LK0743,10104,35,47.62,11,1666.7,2017/1/31,Shipped,1,1,Trucks and Buses,54,S32_2509,Freyre,Diego,Small
9LK0743,10104,49,65.87,4,3227.63,2017/1/31,Shipped,1,1,Trains,62,S32_3207,Freyre,Diego,Medium
9LK0743,10104,33,100,7,3705.24,2017/1/31,Shipped,1,1,Trucks and Buses,115,S50_1392,Freyre,Diego,Medium
9LK0743,10104,32,53.31,2,1705.92,2017/1/31,Shipped,1,1,Trains,58,S50_1514,Freyre,Diego,Small
LFL0172,10105,50,100,2,7208,2017/2/11,Shipped,1,2,Classic Cars,136,S10_4757,Petersen,Jytte,Large
LFL0172,10105,41,100,15,8690.36,2017/2/11,Shipped,1,2,Classic Cars,207,S12_1108,Petersen,Jytte,Large
LFL0172,10105,29,100,14,4566.05,2017/2/11,Shipped,1,2,Classic Cars,173,S12_3891,Petersen,Jytte,Medium
LFL0172,10105,22,100,11,3065.04,2017/2/11,Shipped,1,2,Vintage Cars,136,S18_3140,Petersen,Jytte,Medium
LFL0172,10105,38,100,13,4330.1,2017/2/11,Shipped,1,2,Trains,100,S18_3259,Petersen,Jytte,Medium
LFL0172,10105,41,82.5,10,3382.5,2017/2/11,Shipped,1,2,Vintage Cars,87,S18_4522,Petersen,Jytte,Medium
LFL0172,10105,43,100,9,6341.21,2017/2/11,Shipped,1,2,Ships,122,S24_2011,Petersen,Jytte,Medium
LFL0172,10105,44,72.58,4,3193.52,2017/2/11,Shipped,1,2,Vintage Cars,88,S24_3151,Petersen,Jytte,Medium
LFL0172,10105,50,79.67,1,3983.5,2017/2/11,Shipped,1,2,Vintage Cars,83,S24_3816,Petersen,Jytte,Medium
LFL0172,10105,41,70.67,5,2897.47,2017/2/11,Shipped,1,2,Ships,66,S700_1138,Petersen,Jytte,Small
LFL0172,10105,29,70.15,12,2034.35,2017/2/11,Shipped,1,2,Ships,86,S700_1938,Petersen,Jytte,Small
LFL0172,10105,31,65.77,3,2038.87,2017/2/11,Shipped,1,2,Ships,72,S700_2610,Petersen,Jytte,Small
LFL0172,10105,39,81.14,6,3164.46,2017/2/11,Shipped,1,2,Ships,100,S700_3505,Petersen,Jytte,Medium
LFL0172,10105,22,100,7,2556.18,2017/2/11,Shipped,1,2,Ships,99,S700_3962,Petersen,Jytte,Small
LFL0172,10105,25,56.78,8,1419.5,2017/2/11,Shipped,1,2,Ships,54,S72_3212,Petersen,Jytte,Small
GFB0364,10106,36,100,12,5279.4,2017/2/17,Shipped,1,2,Planes,157,S18_1662,Rovelli,Giovanni,Medium
GFB0364,10106,34,90.39,2,3073.26,2017/2/17,Shipped,1,2,Planes,84,S18_2581,Rovelli,Giovanni,Medium
GFB0364,10106,41,83.44,18,3421.04,2017/2/17,Shipped,1,2,Ships,86,S18_3029,Rovelli,Giovanni,Medium
GFB0364,10106,41,100,17,4774.86,2017/2/17,Shipped,1,2,Vintage Cars,105,S18_3856,Rovelli,Giovanni,Medium
GFB0364,10106,28,88.63,4,2481.64,2017/2/17,Shipped,1,2,Planes,109,S24_1785,Rovelli,Giovanni,Small
GFB0364,10106,49,74.68,13,3659.32,2017/2/17,Shipped,1,2,Planes,68,S24_2841,Rovelli,Giovanni,Medium
GFB0364,10106,31,52.6,14,1630.6,2017/2/17,Shipped,1,2,Vintage Cars,65,S24_3420,Rovelli,Giovanni,Small
GFB0364,10106,50,64.83,11,3241.5,2017/2/17,Shipped,1,2,Planes,68,S24_3949,Rovelli,Giovanni,Medium
GFB0364,10106,26,63.76,3,1657.76,2017/2/17,Shipped,1,2,Planes,72,S24_4278,Rovelli,Giovanni,Small
GFB0364,10106,33,72.92,5,2406.36,2017/2/17,Shipped,1,2,Vintage Cars,68,S32_4289,Rovelli,Giovanni,Small
GFB0364,10106,39,40.15,6,1565.85,2017/2/17,Shipped,1,2,Vintage Cars,43,S50_1341,Rovelli,Giovanni,Small
